Player,Birth_Date
Aleksandar Djordjevic,"August 26, 1967"
Jacky Dorsey,"December 18, 1954"
Joey Dorsey,"December 16, 1983"
Tyler Dorsey,"February 18, 1996"
Luguentz Dort,"April 19, 1999"
Damyean Dotson,"May 6, 1994"
Devon Dotson,"August 2, 1999"
Quincy Douby,"May 16, 1984"
Bruce Douglas,"April 9, 1964"
John Douglas,"June 12, 1956"
Leon Douglas,"August 26, 1954"
Sherman Douglas,"September 15, 1966"
Toney Douglas,"March 16, 1986"
Chris Douglas-Roberts,"January 8, 1987"
Sekou Doumbouya,"December 23, 2000"
Zabian Dowdell,"September 10, 1984"
Milton Doyle,"October 31, 1993"
PJ Dozier,"October 25, 1996"
Terry Dozier,"June 29, 1966"
Goran Dragic,"May 6, 1986"
Zoran Dragic,"June 22, 1989"
Greg Dreiling,"November 7, 1962"
Bryce Drew,"September 21, 1974"
John Drew,"September 30, 1954"
Larry Drew,"April 2, 1958"
Larry Drew,"March 5, 1990"
Clyde Drexler,"June 22, 1962"
Nate Driggers,"October 12, 1973"
Predrag Drobnjak,"October 27, 1975"
Ralph Drollinger,"April 20, 1954"
Andre Drummond,"August 10, 1993"
Kevin Duckworth,"April 1, 1964"
Chris Dudley,"February 22, 1965"
Jared Dudley,"July 10, 1985"
Terry Duerod,"July 29, 1956"
Chris Duhon,"August 31, 1982"
Duje Dukan,"December 4, 1991"
Joe Dumars,"May 24, 1963"
Richard Dumas,"May 19, 1969"
Tony Dumas,"August 25, 1972"
Tim Duncan,"April 25, 1976"
Mike Dunleavy,"March 21, 1954"
Mike Dunleavy,"September 15, 1980"
Kris Dunn,"March 18, 1994"
T.R. Dunn,"February 1, 1955"
Ronald Dupree,"January 26, 1981"
Kevin Durant,"September 29, 1988"
John Duren,"October 30, 1958"
Pat Durham,"March 10, 1967"
Devin Durrant,"October 20, 1960"
Trevon Duval,"August 3, 1998"
Craig Dykema,"June 11, 1959"
Jerome Dyson,"May 1, 1987"
Ledell Eackles,"November 24, 1966"
Acie Earl,"June 23, 1970"
Cleanthony Early,"April 17, 1991"
Mark Eaton,"January 24, 1957"
Jerry Eaves,"February 8, 1959"
Devin Ebanks,"October 28, 1989"
Ndudi Ebi,"June 18, 1984"
Jarell Eddie,"October 30, 1991"
Patrick Eddie,"December 27, 1967"
Kenton Edelin,"May 24, 1962"
Keith Edmonson,"September 28, 1960"
Tyus Edney,"February 14, 1973"
Anthony Edwards,"August 5, 2001"
Bill Edwards,"September 22, 1971"
Blue Edwards,"October 31, 1965"
Carsen Edwards,"March 12, 1998"
Corsley Edwards,"March 5, 1979"
Doug Edwards,"January 21, 1971"
Franklin Edwards,"February 2, 1959"
James Edwards,"November 22, 1955"
Jay Edwards,"January 3, 1969"
John Edwards,"July 31, 1981"
Kevin Edwards,"October 30, 1965"
Shane Edwards,"May 31, 1987"
Vince Edwards,"April 5, 1996"
Craig Ehlo,"August 11, 1961"
Howard Eisley,"December 4, 1972"
Obinna Ekezie,"August 22, 1975"
Khalid El-Amin,"April 25, 1979"
Mario Elie,"November 26, 1963"
CJ Elleby,"June 16, 2000"
Henry Ellenson,"January 13, 1997"
Wayne Ellington,"November 29, 1987"
Bob Elliott,"August 18, 1955"
Sean Elliott,"February 2, 1968"
Bo Ellis,"August 8, 1954"
Dale Ellis,"August 6, 1960"
Harold Ellis,"October 7, 1970"
LaPhonso Ellis,"May 5, 1970"
LeRon Ellis,"April 28, 1969"
Monta Ellis,"October 26, 1985"
Pervis Ellison,"April 3, 1967"
Len Elmore,"March 28, 1952"
Francisco Elson,"February 28, 1976"
Melvin Ely,"May 2, 1978"
Joel Embiid,"March 16, 1994"
Andre Emmett,"August 27, 1982"
Chris Engler,"March 1, 1959"
Wayne Englestad,"December 6, 1966"
A.J. English,"July 11, 1967"
Alex English,"January 5, 1954"
Jo Jo English,"February 4, 1970"
Kim English,"September 24, 1988"
James Ennis,"July 1, 1990"
Tyler Ennis,"August 24, 1994"
Semih Erden,"July 28, 1986"
Julius Erving,"February 22, 1950"
Evan Eschmeyer,"May 30, 1975"
Vincenzo Esposito,"March 1, 1969"
Drew Eubanks,"February 1, 1997"
Brian Evans,"September 13, 1973"
Earl Evans,"November 11, 1955"
Jacob Evans,"June 18, 1997"
Jawun Evans,"July 26, 1996"
Jeremy Evans,"October 24, 1987"
Maurice Evans,"November 8, 1978"
Mike Evans,"April 19, 1955"
Reggie Evans,"May 18, 1980"
Tyreke Evans,"September 19, 1989"
Daniel Ewing,"March 26, 1983"
Patrick Ewing,"August 5, 1962"
Patrick Ewing,"May 20, 1984"
Dante Exum,"July 13, 1995"
Christian Eyenga,"June 22, 1989"
Festus Ezeli,"October 21, 1989"
Tacko Fall,"December 10, 1995"
Kenneth Faried,"November 19, 1989"
Jordan Farmar,"November 30, 1986"
Desmon Farmer,"October 7, 1981"
Jim Farmer,"September 23, 1964"
Tony Farmer,"January 3, 1970"
Vitor Faverani,"May 5, 1988"
Derrick Favors,"July 15, 1991"
Nick Fazekas,"June 17, 1985"
Jamie Feick,"July 3, 1974"
Dave Feitl,"June 8, 1962"
Kay Felder,"March 29, 1995"
Cristiano Felicio,"July 7, 1992"
Carrick Felix,"August 17, 1990"
Noel Felix,"October 4, 1981"
Raymond Felton,"June 26, 1984"
Desmond Ferguson,"July 22, 1977"
Terrance Ferguson,"May 17, 1998"
Rudy Fernandez,"April 4, 1985"
Bruno Fernando,"August 15, 1998"
Eric Fernsten,"November 1, 1953"
Rolando Ferreira,"May 24, 1964"
Duane Ferrell,"February 28, 1965"
Yogi Ferrell,"May 9, 1993"
Danny Ferry,"October 17, 1966"
Kyrylo Fesenko,"December 24, 1986"
Kenny Fields,"February 9, 1962"
Landry Fields,"June 27, 1988"
Michael Finley,"March 6, 1973"
Dorian Finney-Smith,"May 4, 1993"
Matt Fish,"November 18, 1969"
Derek Fisher,"August 9, 1974"
Gerald Fitch,"August 12, 1982"
Marcus Fizer,"August 10, 1978"
Vern Fleming,"February 4, 1962"
Luis Flores,"April 11, 1981"
Bruce Flowers,"June 13, 1957"
Sleepy Floyd,"March 6, 1960"
Jonny Flynn,"February 6, 1989"
Malachi Flynn,"May 10, 1998"
Isaac Fontaine,"April 16, 1975"
Jeff Foote,"July 14, 1987"
Bryn Forbes,"July 23, 1993"
Gary Forbes,"February 25, 1985"
Alphonso Ford,"October 31, 1971"
Alton Ford,"May 29, 1981"
Chris Ford,"January 11, 1949"
Don Ford,"December 31, 1952"
Phil Ford,"February 9, 1956"
Sharrod Ford,"January 9, 1982"
Sherell Ford,"August 26, 1972"
T.J. Ford,"March 24, 1983"
Trent Forrest,"June 12, 1998"
Joseph Forte,"March 23, 1981"
Courtney Fortson,"May 23, 1988"
Danny Fortson,"March 27, 1976"
Greg Foster,"October 3, 1968"
Jeff Foster,"January 16, 1977"
Rod Foster,"October 10, 1960"
Antonis Fotsis,"April 1, 1981"
Evan Fournier,"October 29, 1992"
Tremaine Fowlkes,"April 11, 1976"
De'Aaron Fox,"December 20, 1997"
Rick Fox,"July 24, 1969"
Randy Foye,"September 24, 1983"
Adonal Foyle,"March 9, 1975"
Richie Frahm,"August 14, 1977"
Steve Francis,"February 21, 1977"
Tellis Frank,"April 26, 1965"
Jamaal Franklin,"July 21, 1991"
Melvin Frazier,"August 30, 1996"
Michael Frazier,"March 8, 1994"
Tim Frazier,"November 1, 1990"
Walt Frazier,"March 29, 1945"
Anthony Frederick,"December 7, 1964"
Jimmer Fredette,"February 25, 1989"
World B. Free,"December 9, 1953"
Joel Freeland,"February 7, 1987"
Matt Freije,"October 2, 1981"
Channing Frye,"May 17, 1983"
Hiram Fuller,"May 15, 1981"
Todd Fuller,"July 25, 1974"
Tony Fuller,"September 4, 1958"
Markelle Fultz,"May 29, 1998"
Lawrence Funderburke,"December 15, 1970"
Terry Furlow,"October 18, 1954"
Wenyen Gabriel,"March 26, 1997"
Dan Gadzuric,"February 2, 1978"
Daniel Gafford,"October 1, 1998"
Deng Gai,"March 22, 1982"
Corey Gaines,"June 1, 1965"
Reece Gaines,"January 7, 1981"
Sundiata Gaines,"April 18, 1986"
Mike Gale,"July 18, 1950"
Chad Gallagher,"May 30, 1969"
Danilo Gallinari,"August 8, 1988"
Langston Galloway,"December 9, 1991"
Kevin Gamble,"November 13, 1965"
Jorge Garbajosa,"December 19, 1977"
Ruben Garces,"October 17, 1973"
Alex Garcia,"March 4, 1980"
Francisco Garcia,"December 31, 1981"
Thomas Gardner,"February 8, 1985"
Patricio Garino,"May 17, 1993"
Darius Garland,"January 26, 2000"
Gary Garland,"October 12, 1957"
Winston Garland,"December 19, 1964"
Chris Garner,"February 2, 1975"
Bill Garnett,"April 22, 1960"
Kevin Garnett,"May 19, 1976"
Marlon Garnett,"July 3, 1975"
Billy Garrett,"October 16, 1994"
Calvin Garrett,"July 11, 1956"
Dean Garrett,"November 27, 1966"
Diante Garrett,"November 3, 1988"
Tom Garrick,"July 7, 1966"
John Garris,"June 6, 1959"
Kiwane Garris,"September 24, 1974"
Pat Garrity,"August 23, 1976"
Marc Gasol,"January 29, 1985"
Pau Gasol,"July 6, 1980"
Chris Gatling,"September 3, 1967"
Kenny Gattison,"May 23, 1964"
Rudy Gay,"August 17, 1986"
Andrew Gaze,"July 24, 1965"
Michael Gbinije,"June 5, 1992"
Reggie Geary,"August 31, 1973"
Alonzo Gee,"May 29, 1987"
Matt Geiger,"September 10, 1969"
Mickael Gelabale,"May 22, 1983"
Devean George,"August 29, 1977"
Paul George,"May 2, 1990"
Tate George,"May 29, 1968"
Marcus Georges-Hunt,"March 28, 1994"
Gus Gerard,"July 27, 1953"
Derrick Gervin,"March 28, 1963"
George Gervin,"April 27, 1952"
John Gianelli,"June 10, 1950"
Daniel Gibson,"February 27, 1986"
Jonathan Gibson,"November 8, 1987"
Mike Gibson,"October 27, 1960"
Taj Gibson,"June 24, 1985"
J.R. Giddens,"February 13, 1985"
Trey Gilder,"January 24, 1985"
Harry Giles,"April 22, 1998"
Shai Gilgeous-Alexander,"July 12, 1998"
Anthony Gill,"October 17, 1992"
Eddie Gill,"August 16, 1978"
Kendall Gill,"May 25, 1968"
Ben Gillery,"September 19, 1965"
Armen Gilliam,"May 28, 1964"
Artis Gilmore,"September 21, 1949"
Manu Ginobili,"July 28, 1977"
Gordan Giricek,"June 20, 1977"
Jack Givens,"September 21, 1956"
Mickell Gladness,"July 26, 1986"
Gerald Glass,"November 12, 1967"
Mike Glenn,"September 10, 1955"
Georgi Glouchkov,"January 10, 1960"
Dion Glover,"October 22, 1978"
Andreas Glyniadakis,"August 21, 1981"
Mike Gminski,"August 3, 1959"
Rudy Gobert,"June 26, 1992"
Dan Godfread,"June 14, 1967"
Anthony Goldwire,"September 6, 1971"
Ryan Gomes,"September 1, 1982"
Glen Gondrezick,"August 30, 1955"
Grant Gondrezick,"January 19, 1963"
Drew Gooden,"September 24, 1981"
Steve Goodrich,"March 18, 1976"
Archie Goodwin,"August 17, 1994"
Brandon Goodwin,"October 2, 1995"
Aaron Gordon,"September 16, 1995"
Ben Gordon,"April 4, 1983"
Drew Gordon,"July 12, 1990"
Eric Gordon,"December 25, 1988"
Lancaster Gordon,"June 24, 1962"
Marcin Gortat,"February 17, 1984"
Andrew Goudelock,"December 7, 1988"
Ricky Grace,"August 20, 1967"
Devonte' Graham,"February 22, 1995"
Greg Graham,"November 26, 1970"
Joey Graham,"June 11, 1982"
Orlando Graham,"May 5, 1965"
Paul Graham,"November 28, 1967"
Stephen Graham,"June 11, 1982"
Treveon Graham,"October 28, 1993"
Jim Grandholm,"October 4, 1960"
Ron Grandison,"July 9, 1964"
Danny Granger,"April 20, 1983"
Stewart Granger,"October 27, 1961"
Brian Grant,"March 5, 1972"
Gary Grant,"April 21, 1965"
Greg Grant,"August 29, 1966"
Harvey Grant,"July 4, 1965"
Horace Grant,"July 4, 1965"
Jerami Grant,"March 12, 1994"
Jerian Grant,"October 9, 1992"
Josh Grant,"August 7, 1967"
Paul Grant,"January 6, 1974"
Donte Grantham,"March 19, 1995"
Butch Graves,"January 5, 1962"
Aaron Gray,"December 7, 1984"
Devin Gray,"May 31, 1972"
Ed Gray,"September 27, 1975"
Evric Gray,"December 13, 1969"
Josh Gray,"September 9, 1993"
Stuart Gray,"May 27, 1963"
Sylvester Gray,"July 8, 1967"
Jeff Grayer,"December 17, 1965"
A.C. Green,"October 4, 1963"
Danny Green,"June 22, 1987"
Devin Green,"October 25, 1982"
Draymond Green,"March 4, 1990"
Erick Green,"May 9, 1991"
Gerald Green,"January 26, 1986"
JaMychal Green,"June 21, 1990"
Javonte Green,"July 23, 1993"
Jeff Green,"August 28, 1986"
Josh Green,"November 16, 2000"
Ken Green,"September 19, 1959"
Kenny Green,"October 11, 1964"
Litterial Green,"March 7, 1970"
Mike Green,"August 6, 1951"
Rickey Green,"August 18, 1954"
Sean Green,"February 2, 1970"
Sidney Green,"January 4, 1961"
Taurean Green,"November 28, 1986"
Willie Green,"July 28, 1981"
Donte Greene,"February 21, 1988"
Orien Greene,"February 4, 1982"
Dave Greenwood,"May 27, 1957"
Lynn Greer,"October 23, 1979"
Claude Gregory,"December 26, 1958"
John Greig,"April 28, 1961"
Kevin Grevey,"May 12, 1953"
Adrian Griffin,"July 4, 1974"
Blake Griffin,"March 16, 1989"
Eddie Griffin,"May 30, 1982"
Paul Griffin,"January 20, 1954"
Taylor Griffin,"April 18, 1986"
Darrell Griffith,"June 16, 1958"
Derek Grimm,"August 3, 1974"
Bob Gross,"August 3, 1953"
Anthony Grundy,"April 15, 1979"
Ernie Grunfeld,"April 24, 1955"
Petur Gudmundsson,"October 30, 1958"
Marko Guduric,"March 8, 1995"
Tom Gugliotta,"December 19, 1969"
Andres Guibert,"October 28, 1968"
Jay Guidinger,"August 18, 1969"
Jorge Gutierrez,"December 27, 1988"
Kyle Guy,"August 11, 1997"
A.J. Guyton,"February 12, 1978"
